0,0
0,1
1,0
1,1
1,2
2,0
3,0
3,2
4,3
5,4
6,0
7,0
7,2
8,3
9,4
9,0
10,3
11,3
12,0
13,2
14,2
15,3
16,0
17,3
18,3
19,3
20,0
21,3
22,3
23,0
24,0
25,0
26,4
26,0
27,0
28,3
29,0
30,0
30,1
30,2
31,4
32,3
33,0
34,0
35,1
36,1
37,3
37,4
38,2
39,1
40,0
40,2
41,3
42,1
43,3
44,4
44,0
45,0
46,3
47,4
48,3
49,1
50,3
51,3
52,0
53,3
54,0
54,2
55,2
56,3
57,1
58,0
59,2
60,3
61,0
62,3
63,0
64,0
65,3
66,3
67,3
68,3
69,0
70,0
71,3
72,0
73,1
74,3
75,0
76,2
77,3
78,3
79,0
80,3
81,0
82,3
83,0
83,2
84,3
85,0
86,3
87,3
88,1
88,2
89,3
90,0
91,0
92,0
93,0
94,3
95,0
96,3
97,1
98,2
99,3
100,2
101,0
102,0
103,3
104,1
104,2
105,3
105,0
105,1
106,0
107,3
108,0
109,0
110,3
111,4
112,3
113,0
114,0
115,0
116,0
117,2
118,0
119,0
120,3
121,0
122,4
123,1
124,3
124,0
125,3
125,0
125,1
125,2
126,3
127,3
128,3
128,4
129,2
130,0
131,3
132,3
133,1
134,0
135,0
135,2
